Timestep	2016	2017	2018	2019	ground
381	276.75	271.95	283.15	278.45	278.85
382	276.55	271.55	282.55	278.35	278.85
383	276.65	271.15	282.85	278.25	278.84
384	276.15	271.15	282.85	278.35	278.85
385	275.95	270.95	281.95	279.05	278.85
386	275.85	270.85	281.85	280.15	278.84
387	275.55	270.65	281.95	280.75	278.83
388	275.55	270.95	281.85	281.05	278.81
389	275.85	270.85	281.45	281.05	278.81
390	275.75	270.75	280.55	281.35	278.83
391	275.55	270.95	279.45	281.05	278.81
392	275.35	271.05	279.55	280.85	278.83
393	275.25	271.15	279.35	281.05	278.82
394	275.15	271.15	278.95	281.35	278.82
395	275.05	271.35	278.85	281.25	278.8
396	275.55	271.55	279.05	281.45	278.82
397	276.45	271.55	279.35	281.75	278.8
398	277.55	271.75	278.45	281.95	278.82
399	277.05	271.95	277.95	281.65	278.81
400	276.95	271.55	278.85	281.45	278.8
401	277.45	271.65	277.75	281.35	278.8
402	275.35	271.45	277.75	281.35	278.8
403	275.65	271.25	277.95	280.05	278.81
404	275.05	271.15	278.05	280.05	278.8
405	274.95	271.15	278.05	279.75	278.8
406	274.35	271.05	278.35	279.05	278.8
407	273.85	270.95	278.65	279.15	278.81
408	272.85	270.95	278.35	279.05	278.8
409	271.95	270.95	278.55	279.05	278.8
410	271.85	270.95	278.95	278.85	278.8
411	271.85	270.85	278.65	278.05	278.8
412	271.25	270.65	278.15	277.55	278.8
413	271.25	270.65	278.05	277.45	278.79
414	270.85	270.45	278.05	277.25	278.79
415	270.35	270.35	277.85	276.75	278.79
416	270.05	270.25	277.75	275.75	278.79
417	269.55	270.35	277.75	275.35	278.79
418	269.75	270.25	278.05	275.15	278.78
419	270.65	270.25	278.65	275.35	278.77
420	271.65	270.35	278.95	275.85	278.78
421	272.75	270.65	279.45	276.45	278.77
422	272.85	271.15	279.85	276.95	278.77
423	273.45	271.35	280.25	277.45	278.78
424	273.35	271.25	280.85	277.75	278.76
425	272.65	271.25	280.85	277.85	278.76
426	273.05	271.25	280.65	276.95	278.75
427	272.55	271.25	280.65	276.45	278.75
428	272.25	271.25	280.65	276.05	278.75
429	272.15	271.45	280.85	275.85	278.74
430	272.15	271.55	281.15	275.55	278.74
431	272.25	271.55	281.55	275.15	278.74
432	272.45	271.45	281.85	274.95	278.74
433	272.75	271.45	282.15	274.85	278.75
434	272.65	271.35	282.65	274.35	278.74
435	272.85	271.25	282.95	274.15	278.75
436	272.75	271.25	283.15	273.85	278.74
437	272.75	271.25	283.35	274.25	278.74
438	272.85	271.25	282.55	274.85	278.75
439	272.85	271.15	282.25	275.25	278.75
440	272.95	271.05	280.95	275.15	278.75
441	273.15	271.15	280.75	274.95	278.74
442	273.45	271.15	280.55	275.05	278.74
443	273.95	271.15	280.45	275.65	278.71
444	274.35	271.45	280.55	275.75	278.71
445	274.95	271.85	281.25	275.95	278.7
446	275.15	272.65	282.15	276.75	278.69
447	276.15	272.85	282.25	276.85	278.69
448	275.65	272.95	282.35	276.55	278.7
449	275.95	272.95	282.45	276.55	278.67
450	276.25	272.45	281.95	276.55	278.67
451	276.05	271.95	280.85	276.25	278.68
452	275.95	271.65	279.85	275.85	278.67
453	276.05	271.35	279.15	275.45	278.67
454	276.05	271.35	279.35	275.25	278.67
455	276.25	271.45	279.75	274.95	278.66
456	276.35	271.15	279.25	274.95	278.66
457	276.15	271.55	278.75	274.65	278.66
458	276.35	271.65	278.55	274.15	278.65
459	276.35	271.85	278.65	273.65	278.64
460	276.45	271.95	278.55	273.45	278.65
461	276.35	272.05	278.75	273.35	278.65
462	276.35	272.05	278.45	273.45	278.65
463	276.45	272.05	278.65	273.25	278.65
464	276.45	271.95	278.35	273.45	278.65
465	276.45	271.85	278.05	273.95	278.64
466	276.45	272.15	278.05	274.25	278.63
467	276.75	272.35	278.35	274.65	278.62
468	277.35	272.65	278.95	276.15	278.62
469	277.65	273.15	279.85	276.55	278.6
470	278.25	273.25	280.55	276.85	278.6
471	278.95	273.75	280.55	277.35	278.6
472	278.75	273.45	278.75	277.85	278.61
473	278.35	272.95	277.75	277.85	278.62
474	278.15	272.55	277.65	277.65	278.61
475	277.85	272.75	278.25	277.75	278.6
476	277.65	272.35	278.65	277.75	278.6
477	277.65	272.25	279.15	277.65	278.6
478	277.55	271.85	279.55	277.45	278.59
479	277.45	271.85	280.15	277.35	278.59
480	277.45	271.85	280.85	277.05	278.59
481	277.45	272.05	281.85	277.15	278.58
482	277.45	272.05	282.45	277.05	278.58
483	277.35	271.95	282.85	276.85	278.57
484	277.15	271.75	282.65	276.95	278.57
485	276.95	271.65	282.75	276.75	278.58
486	276.45	271.45	282.85	276.55	278.56
487	275.95	271.25	282.65	276.15	278.56
488	275.85	271.15	282.55	276.25	278.56
489	275.85	271.25	281.95	276.35	278.57
490	276.35	271.35	281.75	277.15	278.55
491	276.35	271.55	281.85	277.05	278.55
492	277.35	271.85	281.45	276.95	278.56
493	277.75	272.15	281.35	277.45	278.55
494	278.75	272.05	281.35	277.85	278.55
495	279.05	271.35	281.35	278.85	278.54
496	278.85	271.15	280.95	279.25	278.54
497	277.85	271.45	280.85	279.25	278.53
498	277.75	271.75	280.85	279.15	278.53
499	276.85	271.35	280.65	278.55	278.53
500	275.65	271.35	280.45	277.35	278.54
501	275.65	271.45	280.25	276.25	278.53
502	276.25	271.55	280.15	275.95	278.53
503	276.45	271.55	280.15	275.45	278.51
504	276.25	271.55	280.15	275.15	278.48
505	276.55	271.65	280.45	274.95	278.5
506	276.65	271.45	280.65	275.45	278.49
507	276.55	271.15	281.15	275.85	278.5
508	276.55	271.05	281.65	275.65	278.5
509	276.55	270.95	282.55	275.95	278.49
510	276.65	270.75	283.25	275.95	278.49
511	276.35	270.75	283.45	275.85	278.49
512	276.05	270.65	283.15	275.85	278.49
513	275.45	270.55	282.95	275.95	278.5
514	275.65	270.55	283.15	275.95	278.5
515	275.85	270.35	282.65	276.05	278.48
516	276.85	270.55	282.55	276.35	278.48
517	277.95	270.75	282.75	276.75	278.48
518	277.75	271.25	282.65	276.75	278.48
519	278.05	271.65	284.55	277.35	278.47
520	278.15	271.95	284.95	276.95	278.46
521	278.45	271.65	285.25	276.65	278.47
522	278.95	271.35	285.45	276.55	278.47
523	278.45	271.25	285.55	276.15	278.46
524	276.95	271.15	285.75	275.55	278.46
525	276.65	271.15	285.25	275.05	278.46
526	277.15	271.35	284.75	274.75	278.45
527	277.45	271.45	284.35	274.85	278.44
528	278.05	271.65	284.45	274.75	278.44
529	278.15	271.65	284.05	274.95	278.44
530	278.45	271.55	283.85	275.05	278.44
531	278.55	271.45	283.85	275.45	278.44
532	278.55	271.45	283.55	275.35	278.45
533	278.65	271.25	282.85	275.25	278.44
534	278.75	271.15	282.25	275.15	278.45
535	278.85	270.95	281.85	275.15	278.44
536	279.25	271.05	281.85	275.05	278.45
537	279.45	270.85	281.75	274.65	278.44
538	279.65	270.75	280.85	275.35	278.45
539	279.85	270.55	281.45	275.15	278.45
540	280.75	271.05	282.05	276.05	278.45
541	282.35	271.25	283.25	275.75	278.44
542	283.35	271.85	284.45	275.65	278.43
543	282.95	272.25	284.65	276.25	278.44
544	283.15	271.95	284.35	275.65	278.43
545	283.65	271.65	284.45	275.75	278.42
546	282.95	271.35	284.45	275.85	278.42
547	281.55	270.95	283.25	276.15	278.41
548	279.95	270.75	282.05	276.35	278.41
549	278.75	270.45	281.55	276.25	278.39
550	278.25	270.25	281.35	275.85	278.41
551	277.65	269.95	281.05	275.55	278.4
552	277.25	270.15	280.95	275.25	278.4
553	276.75	270.25	280.65	275.15	278.41
554	276.15	270.25	280.75	274.95	278.4
555	275.75	270.05	280.35	274.85	278.4
556	275.25	269.35	280.25	274.95	278.41
557	275.35	269.05	280.35	275.25	278.4
558	276.05	269.75	280.05	275.55	278.41
559	276.55	270.05	279.65	275.55	278.39
