Timestep	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53
30	22726	31452.8	37778.6	73959.7	89041.6	18755	8191.1	10987.9	197420	72212.4	71348.4	37434.3	168381	35259.6	27269.8	94129.5	30536.6	109098	37918.6	50226.4	77865.4	8327.7	11384.8	9205.25	6317.75	37011.2	26519.5	24310.4	27757.5	27510.5	24869.4	23707.5	30566.5	31203.2	30136.1	484.967	13345.4	13345.4	13345.4	10595.8	7689.53	0	0	6947.47	747.597	4089.9	0.297539	0.297539	0	0	0	0	0
31	26795.1	31966.3	45127.1	75167.2	106362	19210.8	9004.77	12079.4	235821	79247.2	78184.9	41152.9	185107	38585.6	29842.1	112439	33570	119936	44884.7	55039	79250.1	9154.94	12458.8	10073.6	6913.7	40502.4	29021	26603.6	30375.8	30121.7	27229.9	25957.8	33467.8	34164.9	32996.5	532.212	14612.1	14612.1	14612.1	11601.5	8419.39	0	0	7637.6	819.231	4481.79	0.326335	0.326335	0	0	0	0	0
32	22726	31862.6	37778.6	74923.5	89041.6	18960.8	8191.1	10987.9	197420	72212.4	71348.4	37434.3	168381	35259.6	27269.8	94129.5	30536.6	109098	37918.6	50226.4	79186.7	8327.7	11384.8	9205.25	6317.75	37011.2	26519.5	24310.4	27757.5	27510.5	24869.4	23707.5	30566.5	31203.2	30136.1	484.967	13345.4	13345.4	13345.4	10595.8	7689.53	0	0	6947.47	747.597	4089.9	0.297539	0.297539	0	0	0	0	0
33	22101.2	32132	36604.8	75556.8	86275.1	19096.1	8072.59	10828.9	191286	71209.7	70398.8	36892.7	165945	34828.3	26936.2	91204.9	30094.8	107520	36832	49558	79186.7	8207.22	11245.6	9092.64	6240.47	36558.4	26195.1	24013.1	27417.9	27187.1	24577	23428.8	30207.2	30836.4	29781.8	478.234	13188.5	13188.5	13188.5	10471.2	7599.13	0	0	6846.95	737.648	4035.47	0.294172	0.294172	0	0	0	0	0
34	23504.2	33941.8	38350.7	79812.6	90390	20599	8464.12	11354.1	200410	74973.9	74487.4	38682	173993	37347	28884.2	95555	31554.4	112734	38938.5	52436.1	83340.7	8605.27	12058.8	9750.2	6691.77	39202.3	28089.4	25749.6	29400.7	29427.3	26602.2	25359.4	32696.3	33377.3	32235.8	503.514	14275.3	14275.3	14275.3	11334.1	8225.3	0	0	7179.04	780.488	4269.84	0.322334	0.322334	0	0	0	0	0
35	23270.4	33954.4	38059.8	79842.2	89704.2	20506.3	8398.86	11266.6	198889	74346.6	73806	38383.8	172652	36927.2	28559.5	94830	31311.2	111865	38587.4	51956.4	82648.3	8538.93	11923.3	9640.61	6616.55	38761.6	27773.7	25460.2	29070.3	29053.9	26264.7	25037.6	32281.4	32953.8	31826.8	499.3	14094.1	14094.1	14094.1	11190.3	8120.94	0	0	7123.69	773.348	4230.78	0.31764	0.31764	0	0	0	0	0
36	22802.7	33171.6	37477.8	78001.4	88332.6	19915.2	8268.35	11091.5	195848	73091.8	72443.1	37787.3	169969	36087.6	27910.2	93380	30824.6	110127	37885.3	50997.1	81263.7	8406.25	11652.2	9421.42	6466.12	37880.3	27142.3	24881.3	28409.3	28307.2	25589.6	24394.1	31451.7	32106.8	31008.8	490.874	13731.9	13731.9	13731.9	10902.7	7912.22	0	0	7013	759.068	4152.66	0.308253	0.308253	0	0	0	0	0
37	26795.1	32106.8	45127.1	75497.6	106362	19281.4	9004.77	12079.4	235821	79247.2	78184.9	41152.9	185107	38585.6	29842.1	112439	33570	119936	44884.7	55039	80571.3	9154.94	12458.8	10073.6	6913.7	40502.4	29021	26603.6	30375.8	30121.7	27229.9	25957.8	33467.8	34164.9	32996.5	532.212	14612.1	14612.1	14612.1	11601.5	8419.39	0	0	7637.6	819.231	4481.79	0.326335	0.326335	0	0	0	0	0
38	20153.7	29307.7	34577.8	68915.6	81497.5	16588.9	7473.3	10025	180693	65311.2	63852.7	34153.9	153625	30641.9	23698.5	86154.3	27860.6	99537.7	34056.8	44949.8	71571	7597.93	9893.87	7999.72	5490.37	32164.2	23046.5	21126.7	24122.3	23403.4	21156.6	20168.2	26003.2	26544.8	25637	438.62	11353.1	11353.1	11353.1	9013.95	6541.55	0	0	6338.65	669.057	3660.23	0.245909	0.245909	0	0	0	0	0
39	21867.4	32413.9	36313.9	76219.7	85589.2	19138.7	8007.34	10741.4	189765	70582.3	69717.4	36594.5	164603	34408.5	26611.5	90479.9	29851.5	106651	36481	49078.3	78494.3	8140.87	11110	8983.05	6165.25	36117.8	25879.3	23723.6	27087.5	26813.7	24239.5	23107.1	29792.3	30412.9	29372.8	474.02	13007.4	13007.4	13007.4	10327.4	7494.77	0	0	6791.61	730.508	3996.41	0.289478	0.289478	0	0	0	0	0
