Timestep	2018	2019	2020	2021	2022
366	279.55	273.15	277.95	269.95	273.95
367	279.55	272.95	277.75	269.95	274.15
368	280.45	273.15	278.35	270.05	274.05
369	280.05	273.75	277.65	270.25	273.75
370	280.45	274.75	279.35	270.95	273.95
371	281.25	275.85	279.95	271.95	274.65
372	282.65	276.65	280.15	272.25	275.45
373	282.55	277.15	280.25	272.65	275.45
374	283.05	277.85	280.75	272.85	275.85
375	281.85	278.15	281.15	273.05	275.95
376	281.55	278.25	281.55	272.85	276.15
377	281.45	278.35	280.75	272.95	276.35
378	281.05	277.95	279.75	273.25	275.55
379	280.85	277.55	278.95	273.35	274.75
380	281.55	277.25	278.55	273.45	274.55
381	281.25	276.75	278.25	273.65	274.85
382	281.05	276.55	277.95	273.65	274.35
383	280.65	276.55	277.45	273.05	273.95
384	280.55	277.15	277.15	273.05	273.75
385	280.35	278.45	277.15	272.95	273.75
386	280.25	279.45	276.75	273.05	274.15
387	279.95	279.05	276.45	272.85	273.55
388	280.15	280.05	276.15	273.05	273.55
389	279.55	279.75	276.45	273.55	273.45
390	278.95	279.25	276.25	273.75	273.35
391	275.85	279.15	275.95	274.15	273.05
392	276.45	279.15	276.35	274.25	273.05
393	276.85	278.85	277.05	274.55	273.05
394	276.85	278.65	278.45	274.75	274.55
395	276.65	278.15	278.75	275.15	275.95
396	276.85	278.15	279.55	275.25	276.65
397	275.25	278.75	280.75	275.55	276.95
398	275.75	278.95	279.15	275.65	277.65
399	276.95	278.95	279.05	275.45	277.95
400	277.05	279.05	278.75	275.25	278.25
401	276.75	279.25	278.75	275.55	277.85
402	276.35	277.65	278.55	275.45	276.95
403	275.65	276.75	278.05	275.45	276.85
404	277.35	276.75	278.25	275.25	277.75
405	277.65	277.35	278.35	275.15	277.55
406	276.55	276.85	278.65	275.05	277.35
407	277.05	276.95	278.65	274.95	277.15
408	277.15	276.95	278.65	274.75	276.65
409	277.05	276.45	278.55	274.85	276.45
410	277.55	275.65	278.55	274.75	276.35
411	277.75	275.95	278.55	274.75	275.85
412	278.05	276.15	278.35	274.45	275.85
413	277.55	275.15	277.95	274.15	275.55
414	276.65	274.85	277.25	274.25	275.35
415	276.15	274.35	277.05	274.55	274.85
416	276.35	273.95	276.15	274.45	275.05
417	276.95	273.45	275.55	274.45	275.35
418	277.75	274.25	276.85	275.05	275.75
419	277.05	274.85	278.35	275.95	276.95
420	277.15	275.15	278.65	275.65	277.55
421	277.45	275.65	279.25	276.25	276.95
422	277.65	275.95	279.55	276.95	277.55
423	277.95	276.05	279.25	277.05	277.95
424	278.25	275.95	279.15	276.85	278.45
425	278.45	275.05	279.45	276.55	278.05
426	278.65	274.35	277.95	275.45	276.75
427	278.45	274.05	276.85	274.55	276.15
428	278.55	273.85	276.85	274.25	275.65
429	278.85	273.35	276.65	274.05	275.15
430	279.05	273.25	276.35	273.75	274.75
431	279.15	273.45	276.15	273.25	274.85
432	279.45	273.55	275.95	272.95	275.35
433	279.95	273.05	275.65	272.25	275.75
434	279.95	272.95	275.05	272.05	275.85
435	279.95	273.35	274.95	271.75	275.85
436	279.75	273.45	274.75	271.65	275.65
437	279.55	273.45	274.25	271.95	275.45
438	280.05	273.45	274.75	272.75	275.35
439	280.25	273.65	274.65	272.35	275.35
440	279.45	273.45	274.25	272.15	275.15
441	279.35	273.55	274.55	272.05	275.15
442	279.25	273.85	275.25	273.35	275.95
443	279.75	274.25	276.05	274.55	276.05
444	280.15	274.75	277.05	275.25	276.05
445	280.15	275.05	277.75	275.85	276.95
446	280.15	275.15	278.25	276.35	277.95
447	280.05	275.35	278.15	276.35	279.05
448	279.95	275.35	278.05	277.05	279.65
