Mois	min	max	mean	2014
1	272.55	278.75	274.925	274.45
1	272.45	279.15	274.85	273.55
1	272.65	278.95	274.8125	273.75
1	272.55	279.25	274.675	273.25
1	272.75	279.35	274.675	272.75
1	272.85	278.85	274.6875	273.05
1	273.05	278.85	275.225	273.95
1	273.35	279.05	275.975	275.05
1	273.85	279.55	276.7625	276.45
1	275.45	279.85	277.5	277.35
1	276.65	279.85	278.1625	278.25
1	277.15	280.05	278.1625	278.25
1	276.55	280.85	277.9	277.95
1	275.85	280.55	277.325	277.75
1	274.95	279.75	277.0375	277.45
1	273.75	278.85	276.525	277.25
1	273.15	278.15	275.9875	277.25
1	272.45	278.65	276.0125	277.25
1	271.85	279.65	275.95	277.15
1	271.65	280.85	276.1	277.15
1	270.85	279.85	275.7625	276.65
1	270.75	278.55	275.3625	276.25
1	271.35	278.35	275.1125	275.65
1	271.95	276.95	274.6875	275.05
1	271.75	276.85	274.575	274.45
1	271.85	276.65	274.3625	273.95
1	271.65	276.95	274.1875	273.65
1	273.05	276.35	274.275	273.65
1	272.95	278.25	274.8	272.95
1	273.15	277.85	274.725	273.15
1	273.15	281.15	275.3	274.05
1	273.65	283.55	276.125	275.25
1	274.15	283.65	276.825	275.85
1	273.55	284.55	277.5375	276.95
1	273.05	285.35	277.8375	277.45
1	273.65	284.95	277.85	277.55
1	273.35	284.05	277.7	277.35
1	272.85	283.05	277.2	277.35
1	273.15	283.05	277.1125	278.95
1	272.45	282.95	276.6625	278.35
1	272.65	282.55	276.225	277.95
1	272.85	282.75	276.0875	277.75
1	272.05	282.55	275.875	277.55
1	271.75	282.75	275.5875	277.45
1	271.85	282.85	275.4	277.45
1	271.65	282.35	275.35	277.55
1	271.15	281.45	275.025	277.65
1	270.65	281.65	275.0375	277.65
1	270.65	281.05	274.8125	277.35
1	270.45	281.75	274.925	277.45
1	270.15	281.75	274.8	277.45
1	270.15	282.35	274.725	277.55
1	270.15	280.65	274.3625	277.45
1	270.65	278.85	274.3375	277.35
1	271.25	278.35	274.6	277.25
1	271.75	278.85	275	277.45
1	272.05	280.55	275.425	277.75
1	271.95	280.95	275.675	278.05
1	272.05	280.45	275.9	279.05
1	272.05	280.55	275.9375	279.15
1	271.85	280.85	275.7875	278.45
1	271.65	280.25	275.45	277.85
1	271.35	279.95	275.175	277.65
1	271.55	279.85	274.8875	277.45
1	271.55	279.65	274.675	276.25
1	271.55	278.25	274.275	275.25
1	271.45	277.65	274.1	275.45
1	271.25	276.55	273.9125	275.55
1	270.15	276.05	273.5375	275.45
1	269.25	275.85	272.9875	275.25
1	268.65	275.85	272.8375	275.15
1	268.25	275.55	272.8125	275.05
1	267.75	275.15	272.55	274.55
1	267.55	275.55	272.3625	273.25
1	267.15	275.65	272.125	272.95
1	267.05	275.25	271.875	272.95
1	266.55	275.05	271.6375	272.35
1	267.25	275.25	271.8125	272.95
1	268.85	276.55	272.5625	273.95
1	270.65	277.55	273.475	274.95
1	271.45	278.85	274.3	276.35
1	272.45	281.75	275.2875	276.95
1	272.25	283.05	275.8125	277.15
1	272.45	283.15	276.2375	277.35
1	272.35	282.95	276.475	277.25
1	272.05	281.85	276.0125	277.05
1	271.85	279.45	275.225	276.75
1	271.45	279.15	274.7625	276.35
1	270.35	280.25	274.6	275.95
1	269.85	279.15	274	275.65
1	269.25	278.55	273.5	275.45
1	268.55	278.55	273.1375	275.45
1	267.65	278.85	272.8	275.45
1	267.15	279.05	272.625	275.45
1	267.15	279.05	272.55	275.55
1	266.95	278.75	272.3125	275.35
1	266.25	279.25	272.1	275.25
1	265.85	279.75	271.825	275.25
1	265.35	279.55	271.6	275.25
1	265.25	279.75	271.7625	275.05
1	264.85	280.35	271.65	274.85
1	264.75	280.95	271.8375	275.15
1	265.65	280.95	272.8875	275.95
1	268.35	281.35	273.975	277.25
1	270.75	281.95	275.1625	278.75
1	271.05	282.25	275.975	279.55
1	270.85	282.15	276.225	279.65
1	270.75	282.65	276.5625	279.45
1	270.55	281.45	276.1875	278.55
1	270.05	280.95	275.6	278.15
1	269.75	280.65	275.05	277.85
1	269.45	280.95	274.5625	277.65
1	269.45	280.85	274.15	277.85
1	269.15	280.65	273.75	277.75
1	268.55	280.45	273.7	276.85
1	268.05	280.35	273.425	275.85
1	267.65	279.25	273.125	275.95
1	267.45	278.75	273.0125	276.45
1	266.85	278.75	272.8875	276.75
1	266.65	278.95	272.625	275.55
1	266.75	278.85	272.5625	275.05
1	266.15	279.05	272.5125	274.75
