Symbole	vc	Pc	Tc	Tbp	Mol. weight	WP	DipM	alpha	beta 	gamma	delta	RoL	TL	Roc	Tfp
-	[m3/kg]	[Pa]	[K]	[K]	[g/mol]	[-]	[debye]	[J/(kg K)]	[J/(kg K)]	[J/(kg K)]	[J/(kg K)]	[kg/m3]	[K]	[kg/m3]	[K]
O3	0.001852161	5570000	261.1	181.2	47.998	0.691	0.6	428	1.67	-0.0013	0.000000354	1356	161	539.91	80.5
H2	0.031897927	1290000	33	20.3	2.016	-0.216	0	13500	4.6	-0.00685	0.000003790	71	20	31.35	14
NH3	0.004256949	11350000	405.5	239.8	17.031	0.25	1.5	1600	1.4	0.001	-0.000000696	639	273	234.91	195.4
CBrF3	0.001315564	3970000	340.2	215.3	148.91	0.171	0.7	147	1.45	-0.00142	0.000000501	1538	298	760.13	105.15
CClF3	0.001726996	3870000	302	193.2	104.459	0.198	0.5	218	1.83	-0.00151	0.000000427	1298	243	579.04	92
CCl2F2	0.001792179	4140000	385	245.2	120.914	0.204	0.5	261	1.47	-0.00125	0.000000359	1750	158	557.98	115.4
CCl3F	0.001803914	4410000	471.2	296.9	137.368	0.189	0.5	298	1.21	-0.00103	0.000000302	1494	290	554.35	162
CCl4	0.001793625	4560000	556.4	349.9	153.823	0.193	0	265	1.33	-0.00148	0.000000575	1584	298	557.53	250
CF4	0.001586269	3740000	227.6	145.1	88.005	0.177	0	159	2.3	-0.00185	0.000000513	1330	193	630.41	86.4
CO	0.003327344	3500000	132.9	81.7	28.01	0.066	0.1	1100	-0.459	0.000996	-0.000000454	803	81	300.54	68.1
CO2	0.002133606	7380000	304.1	194.6	44.01	0.239	0	450	1.67	-0.00127	0.000000390	0	0	468.69	216.6
CHClF2	0.001915122	4970000	369.3	232.4	86.469	0.221	1.4	200	1.87	-0.00135	0.000000354	1230	289	522.16	113
CHCl2F	0.001908215	5180000	451.6	282.1	102.923	0.21	1.3	230	1.54	-0.00117	0.000000317	1380	282	524.05	138
CHCl3	0.002001201	5370000	536.4	334.3	119.378	0.218	1.1	201	1.59	-0.00154	0.000000558	1489	293	499.7	209.6
CHF 3	0.001895375	4860000	299.3	191	70.013	0.26	1.6	116	2.59	-0.00197	0.000000562	1246	239	527.6	110
CH2F2	0.002322071	5830000	351.6	221.5	52.023	0.271	2	227	2.27	-0.000931	0.000000041	0	0	430.65	137.15
CH3Cl	0.002751183	6700000	416.3	249.1	50.488	0.153	1.9	275	2.01	-0.00077	0.000000051	915	293	363.48	175.4
CH3F	0.003326237	5600000	315	194.7	34.033	0.187	1.8	406	2.53	-0.000609	-0.000000058	843	213	300.64	131.4
CH4	0.006183527	4600000	190.4	111.6	16.043	0.011	0	1200	3.25	0.000746	-0.000000706	425	112	161.72	90.7
CH3OH	0.003682699	8090000	512.6	337.7	32.042	0.556	1.7	660	2.21	0.000807	-0.000000890	791	293	271.54	175.5
C2ClF5	0.001630125	3230000	353.2	235.2	154.467	0.279	0.3	180	2.26	-0.00187	0.000000527	1260	303	613.45	167
C2Cl2F4	0.001718922	3260000	418.9	276.2	170.922	0.246	0.5	227	2.01	-0.00173	0.000000498	1480	277	581.76	179
C2Cl3F3	0.001737106	3410000	487.3	320.8	187.38	0.256	0	326	1.53	-0.00129	0.000000368	1580	289	575.67	238.2
C2H3F3	0.002308403	3760000	346.3	225.6	84.041	0.251	2.3	68.3	3.74	-0.00309	0.000001000	0	0	433.2	161.9
C2H4F2	0.002740327	4500000	386.7	248.2	66.051	0.256	2.3	1310	3.63	-0.00221	0.000000514	1012	247	364.92	156.2
C2H5Cl	0.003084516	5270000	460.4	285.5	64.515	0.191	2	-8.57	4.04	-0.00285	0.000000860	896	293	324.2	136.8
