2012	2013	2014	2015	2016	2017	2018	2019	2020	mean	max	min
25	293	198	158	34	259	114	96	341	168.6666667	341	25
19	200	148	103	22	114	106	56	219	109.6666667	219	19
22	78	63	47	14	41	59	25	70	46.55555556	78	14
4	8	6	4	2	4	10	21	30	9.888888889	30	2
3	1	2	1	1	1	1	1	3	1.555555556	3	1
3	1	1	2	1	1	1	1	1	1.333333333	3	1
3	1	2	1	1	1	1	1	1	1.333333333	3	1
3	1	1	2	1	1	1	1	1	1.333333333	3	1
2	1	2	2	1	1	1	1	1	1.333333333	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	2	1	1	1	1	1	1	1.222222222	2	1
3	1	1	2	1	1	1	1	1	1.333333333	3	1
3	1	1	2	1	1	1	1	1	1.333333333	3	1
3	1	1	2	1	1	1	1	1	1.333333333	3	1
2	1	1	2	1	1	2	1	1	1.333333333	2	1
3	1	1	2	1	1	1	1	1	1.333333333	3	1
3	1	1	2	1	1	1	1	1	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
9	7	6	3	2	3	1	1	1	3.666666667	9	1
53	89	62	45	12	30	5	4	17	35.22222222	89	4
145	168	211	79	33	69	37	34	116	99.11111111	211	33
276	254	230	65	36	133	119	73	210	155.1111111	276	36
353	317	247	39	53	186	128	116	306	193.8888889	353	39
153	288	325	99	84	182	120	150	334	192.7777778	334	84
113	221	232	128	43	122	186	186	276	167.4444444	276	43
66	152	123	53	50	65	145	53	237	104.8888889	237	50
32	63	48	22	25	24	110	71	135	58.88888889	135	22
5	5	4	2	9	2	23	11	42	11.44444444	42	2
3	1	2	1	2	1	1	1	2	1.555555556	3	1
3	1	1	1	2	1	1	1	1	1.333333333	3	1
2	1	1	2	2	1	1	1	2	1.444444444	2	1
2	1	2	1	2	1	2	1	2	1.555555556	2	1
2	1	2	2	1	1	1	1	1	1.333333333	2	1
2	1	2	1	1	1	1	1	1	1.222222222	2	1
3	1	2	1	1	1	1	1	1	1.333333333	3	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	2	1	1	1	1	1	1	1.222222222	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
3	1	2	2	1	1	1	1	1	1.444444444	3	1
2	1	2	2	1	1	1	1	2	1.444444444	2	1
3	1	2	2	2	1	1	1	1	1.555555556	3	1
3	1	2	2	1	1	1	1	1	1.444444444	3	1
7	2	3	2	2	3	1	1	1	2.444444444	7	1
86	14	37	35	15	25	15	15	15	28.55555556	86	14
206	53	97	157	42	86	91	100	56	98.66666667	206	42
311	95	215	269	32	123	218	131	69	162.5555556	311	32
358	72	289	394	65	111	207	234	82	201.3333333	394	65
368	84	247	295	82	87	142	330	101	192.8888889	368	82
302	76	172	266	63	97	143	336	191	182.8888889	336	63
194	70	189	215	26	44	76	242	178	137.1111111	242	26
76	21	89	73	7	29	31	89	151	62.88888889	151	7
8	4	7	6	6	4	15	23	31	11.55555556	31	4
3	1	2	2	1	1	2	1	3	1.777777778	3	1
3	1	2	2	2	1	1	1	1	1.555555556	3	1
3	1	1	2	2	1	1	1	1	1.444444444	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	2	1	1	1	1	1	1	2	1.444444444	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	2	1	1	1	1	1	1	1	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	2	2	1	1	1	1	1.444444444	3	1
2	1	1	2	1	1	1	1	1	1.222222222	2	1
2	1	1	2	1	1	1	1	1	1.222222222	2	1
4	2	5	2	2	4	1	1	1	2.444444444	5	1
37	6	70	6	10	72	11	12	19	27	72	6
89	14	194	49	70	278	45	95	122	106.2222222	278	14
111	28	199	149	138	355	83	229	244	170.6666667	355	28
115	27	305	261	271	389	166	387	342	251.4444444	389	27
120	102	302	279	124	245	146	370	337	225	370	102
113	64	122	208	111	142	151	237	347	166.1111111	347	64
76	18	51	156	95	61	138	155	260	112.2222222	260	18
25	11	26	38	44	30	64	75	123	48.44444444	123	11
6	4	6	4	3	4	15	18	32	10.22222222	32	3
2	1	2	1	2	1	1	1	3	1.555555556	3	1
3	1	2	1	1	1	1	1	1	1.333333333	3	1
3	1	2	1	1	1	1	1	1	1.333333333	3	1
3	1	2	1	1	1	1	1	1	1.333333333	3	1
2	1	2	1	1	1	1	1	1	1.222222222	2	1
