Mois	temp
1	275.04
1	274.81
1	274.93
1	274.80
1	274.73
1	274.36
1	274.34
1	274.60
1	275.00
1	275.43
1	275.68
1	275.90
1	275.94
1	275.79
1	275.45
1	275.18
1	274.89
1	274.68
1	274.28
1	274.10
1	273.91
1	273.54
1	272.99
1	272.84
1	272.81
1	272.55
1	272.36
1	272.13
1	271.88
1	271.64
1	271.81
1	272.56
1	273.48
1	274.30
1	275.29
1	275.81
1	276.24
1	276.48
1	276.01
1	275.23
1	274.76
1	274.60
1	274.00
1	273.50
1	273.14
1	272.80
1	272.63
1	272.55
1	272.31
1	272.10
1	271.83
1	271.60
1	271.76
1	271.65
1	271.84
