Timestep	2016	2017	2018	2019
232	281.25	276.15	280.45	277.35
233	281.25	276.45	280.65	277.25
234	281.25	276.45	281.15	276.65
235	281.35	275.95	281.05	276.45
236	281.75	275.55	280.75	276.35
237	281.75	274.85	280.15	276.05
238	281.95	273.95	279.65	275.95
239	282.35	274.35	279.65	276.15
240	281.85	274.25	279.85	275.85
241	281.45	274.35	279.65	275.55
242	281.45	274.65	279.65	275.25
243	281.15	274.95	279.85	275.05
244	281.15	274.95	279.75	275.15
245	280.75	274.85	279.85	274.95
246	280.55	275.35	279.85	274.75
247	280.15	275.45	279.75	274.75
248	280.15	275.45	279.45	274.85
249	280.05	275.45	279.65	275.15
250	280.25	275.35	279.55	275.05
251	281.15	276.05	279.65	275.05
252	284.35	276.45	279.75	275.65
253	283.65	276.85	280.25	276.15
254	285.35	277.65	281.45	276.65
255	285.25	278.15	281.35	276.85
256	284.45	278.05	281.15	277.05
257	284.05	277.95	281.05	277.55
258	283.25	277.95	281.25	277.15
259	282.05	278.05	281.05	277.05
260	281.45	277.95	281.05	277.05
261	281.45	277.55	281.05	276.75
262	281.75	277.65	280.95	276.25
263	281.55	278.05	280.45	276.05
264	281.45	278.15	279.75	276.15
265	280.55	278.55	279.35	276.35
266	280.45	278.75	278.75	276.55
267	280.65	278.85	278.55	276.25
268	280.25	278.95	279.15	276.15
269	279.85	279.15	279.15	276.45
270	279.75	279.05	279.35	276.35
271	279.75	279.15	279.45	276.35
272	279.95	279.35	279.55	276.55
273	280.15	279.65	279.65	276.25
274	280.55	279.25	279.35	276.65
275	280.15	279.15	279.45	276.55
276	280.95	279.65	279.55	276.65
277	281.15	280.15	279.75	278.05
278	281.75	280.95	280.25	278.75
279	281.75	281.35	280.25	279.65
280	281.45	281.55	280.35	279.95
281	279.85	281.15	280.35	279.65
282	279.65	280.55	280.25	279.65
283	279.85	280.15	279.85	279.35
284	279.95	280.15	279.15	279.05
285	279.65	280.65	278.95	278.75
286	279.15	280.35	279.05	278.85
287	279.35	280.15	279.05	278.95
288	279.25	280.45	278.95	278.85
289	278.45	280.95	278.85	278.25
290	278.45	281.15	278.55	277.85
291	278.45	280.45	278.55	277.95
292	277.55	279.95	278.85	278.15
293	277.35	279.35	278.95	278.15
294	277.85	278.45	278.65	278.25
295	278.35	277.15	278.65	278.15
296	278.25	277.25	278.65	277.85
297	278.05	276.85	278.65	277.85
298	277.85	276.75	278.45	277.95
299	278.05	275.85	278.45	278.15
300	278.35	276.55	278.75	278.35
301	279.25	277.45	279.35	278.95
302	279.85	277.95	279.65	279.35
303	280.45	277.25	279.75	279.35
304	280.45	277.15	279.75	279.75
305	280.05	276.65	279.55	280.15
306	279.75	276.35	279.35	280.25
307	279.15	276.75	278.45	280.05
308	278.75	275.95	277.65	280.25
309	277.75	276.15	277.15	280.65
310	277.15	276.15	276.85	281.15
311	276.65	275.35	276.25	281.25
312	276.35	274.75	275.75	281.45
313	275.95	274.65	275.25	281.35
314	275.35	275.25	274.95	281.35
315	275.15	275.75	274.55	281.55
316	274.65	276.45	274.25	281.75
317	274.55	276.45	273.95	281.75
318	274.45	276.25	273.65	281.65
319	274.25	276.45	273.35	281.35
320	273.85	276.35	273.05	280.95
321	274.05	276.45	273.65	280.75
322	274.25	276.25	274.75	280.85
323	274.55	276.05	275.25	280.85
324	275.95	276.55	275.45	280.65
325	276.35	276.55	275.85	280.55
326	276.25	276.55	276.05	281.05
327	275.75	276.45	276.35	281.45
328	276.35	276.35	276.35	280.95
329	276.95	275.85	276.05	280.85
330	276.75	275.65	275.95	280.45
331	276.75	275.25	275.85	280.45
332	276.95	275.15	275.75	280.05
333	277.25	275.05	275.55	279.55
334	278.05	274.85	275.45	279.55
335	278.55	274.45	275.15	279.35
336	278.55	274.65	275.15	279.25
337	278.55	274.45	275.25	279.05
338	277.75	274.35	275.15	279.25
339	277.25	274.05	275.45	279.25
340	277.35	274.45	275.35	279.05
