Timestep	2021air	2021sol
809	7.5	6.1
810	8.1	6.1
811	8.8	6.1
812	9	6.1
813	9.9	6.1
814	9.5	6.1
815	9.5	6.1
816	9.1	6.1
817	8.5	6.1
818	8.1	6.1
819	8.2	6.1
820	7	6
821	5.9	6
822	5.2	6
823	4.4	5.9
824	3.2	5.9
825	2.6	5.8
826	3.5	5.8
827	4.7	5.7
828	7.3	5.7
829	8.6	5.7
830	9.1	5.7
831	9.4	5.7
832	9.1	5.8
833	8.2	5.9
834	7.5	5.9
835	7	6
836	6.5	6
837	6.1	6
838	5.7	6
839	5.2	6
840	4.7	6
841	4	6
842	3.7	6
843	3.4	5.9
844	3.2	5.9
845	3.5	5.8
846	3.8	5.8
847	5.7	5.8
848	5.6	5.7
849	4.6	5.7
850	5.5	5.7
851	6.2	5.6
852	7.8	5.6
853	8.9	5.7
854	9.6	5.7
855	10.8	5.7
856	10.4	5.8
857	9.7	5.9
858	8.5	5.9
859	7.3	6
860	6.6	6
861	5.7	6.1
862	4.6	6.1
863	4	6
864	3.6	6
865	3.1	6
866	2.3	5.9
867	2	5.9
868	2.2	5.8
869	2.2	5.8
870	2.5	5.7
871	2	5.7
872	2.2	5.6
873	2.1	5.6
874	2.7	5.5
875	3.2	5.5
876	4	5.5
877	5.4	5.4
878	6.9	5.4
879	6.8	5.5
880	6.5	5.5
881	6.6	5.5
882	5.8	5.6
883	5.4	5.6
884	5.1	5.6
885	4.9	5.6
886	5.1	5.6
887	6.7	5.6
888	7.6	5.6
889	6.1	5.6
890	5.7	5.6
891	5.2	5.6
892	4.5	5.6
893	6.1	5.6
894	7.4	5.6
895	7.4	5.6
896	7.3	5.5
897	7	5.5
898	6.3	5.5
899	5.9	5.5
900	5.6	5.5
901	5.4	5.5
902	4.9	5.5
903	4.5	5.6
904	3.2	5.6
905	2.7	5.6
906	2.3	5.6
907	2.3	5.6
908	2.1	5.5
909	1.8	5.5
910	2.2	5.5
911	2.3	5.4
912	2.5	5.4
913	2.3	5.3
914	1.7	5.3
915	1.3	5.2
916	2	5.2
917	2.4	5.2
918	2.4	5.1
919	2.4	5.1
920	2.1	5
921	2.4	5
922	3.6	4.9
923	4.3	4.9
924	4.9	4.9
925	5.6	4.9
926	6.2	4.9
927	6.6	4.9
928	6.6	5
929	6.1	5
930	5.3	5
931	4.9	5.1
932	4.1	5.1
933	3.4	5
934	4.3	5
935	4.4	5
936	4.2	5
937	3.7	4.9
938	2	4.9
939	1.2	4.9
940	1.1	4.9
941	0.7	4.9
942	-0.2	4.9
943	-0.5	4.8
944	-0.1	4.8
945	0.3	4.8
946	0.4	4.8
947	0.4	4.7
948	0.8	4.7
949	1.8	4.7
950	2.4	4.7
951	2.3	4.7
952	2.3	4.7
953	2.2	4.7
954	1.7	4.8
955	0.9	4.8
956	0.6	4.8
957	0.1	4.8
958	-0.3	4.8
959	-0.3	4.7
960	-0.2	4.7
961	-0.3	4.7
962	-0.3	4.7
963	-0.4	4.7
964	-0.5	4.6
965	-0.6	4.6
966	-0.4	4.6
967	-0.3	4.6
968	-0.2	4.6
969	-0.2	4.6
970	0.2	4.5
971	0.6	4.5
972	1.1	4.5
973	3.3	4.5
974	5.5	4.5
975	6	4.5
976	5.9	4.5
977	5.5	4.5
978	4.8	4.5
979	2.7	4.5
980	2.2	4.6
981	1.4	4.6
982	0.9	4.6
983	0	4.5
984	-0.8	4.5
985	-2.4	4.5
986	-2.9	4.5
987	-2.8	4.5
988	-2.9	4.4
989	-3.4	4.4
990	-3.8	4.3
991	-4.1	4.3
992	-4.3	4.3
993	-4.9	4.2
994	-5.2	4.2
995	-5.2	4.1
996	-5.1	4.1
997	-4.7	4
998	-4.4	4
999	-4.2	4
1000	-4.1	3.9
1001	-4.5	3.9
1002	-4.8	3.8
1003	-5.2	3.8
1004	-5.7	3.8
1005	-6.1	3.8
1006	-6.3	3.7
1007	-6.3	3.7
1008	-6.4	3.6
1009	-6.5	3.6
